Location,Coordinates,Code
Sagres,3700 N 00856 W,SAGRE
Salamonde,4140 N 00805 W,SALAM
Salvada,3756 N 00746 W,SALVA
Salvaterra De Magos,3901 N 00847 W,SMAGO
Samora Correia,3855 N 00852 W,SAMOR
Santa Cruz,3908 N 00922 W,SCRUZ
Santa Eulalia,4055 N 00816 W,SALIA
Santa Margarida Ad Militar,3924 N 00817 W,SMARG
Santa Maria Da Feira (Localidade),4055 N 00832 W,FEIRA
Santa Marta De Penaguiao,4112 N 00747 W,SMPEN
Santana Da Serra,3730 N 00818 W,SANTS
Santarem,3914 N 00841 W,SAREM
Santiago De Cacem,3800 N 00841 W,STCEM
Santo Aleixo Da Restauracao,3804 N 00709 W,SEIXO
Santo Estevao,3852 N 00842 W,SESTV
Santo Tirso,4120 N 00828 W,STIRS
Sardoal,3932 N 00809 W,SARDL
Sarzedas,3951 N 00741 W,SARZD
Seia,4025 N 00742 W,SEJA
Seixal,3838 N 00906 W,SEIXL
Sernancelhe,4053 N 00729 W,SNCEL
Serpa,3756 N 00735 W,SERPA
Serra Da Carregueira (Tangos),3924 N 00822 W,SCARR
Serra Da Estrela,4019 N 00735 W,SESTR
Serra De Alvelos,3954 N 00800 W,SALVE
Serra De Montejunto,3909 N 00903 W,SMONT
Serra De Montemuro,4057 N 00801 W,SMURO
Serra De S. Mamede,3919 N 00719 W,SMAME
Serra Do Pilar,4108 N 00836 W,SPLAR
Serra Dos Candeeiros,3926 N 00855 W,SCAND
Serta,3948 N 00805 W,SERTA
Sesimbra,3826 N 00906 W,SMBRA
Setubal,3830 N 00853 W,STBAL
Sever Do Vouga,4044 N 00822 W,SEVER
Silvares,4008 N 00740 W,SILVR
Sintra (Povoacao),3847 N 00923 W,SINTR
Sobral De Monte Agraco,3901 N 00909 W,SBRAL
Soure,4003 N 00837 W,SOURE
Sousel,3857 N 00740 W,SOUZL
Tabua,4021 N 00801 W,TABUA
Tabuaco,4107 N 00734 W,TBACO
Tangos Ad,3928 N 00821 W,TANCS
Tarouca,4101 N 00746 W,TAROC
Tavira,3707 N 00739 W,TAVIR
Teloes,4127 N 00741 W,TELOE
Terras De Bouro,4143 N 00818 W,TBOUR
Terreiro Do Paco,3842 N 00907 W,TPACO
Tocha,4018 N 00845 W,TOCHA
Tomar,3936 N 00824 W,TOMAR
Tondela,4030 N 00804 W,TDELA
Torrao (Barragem),3814 N 00817 W,TRRAO
Torre (Serra Da Estrela),4019 N 00736 W,TORRE
Torre Da Gadanha,3834 N 00817 W,GDANH
Torre Das Vargens,3918 N 00754 W,VARGE
Torre De Controlo Maritimo,3841 N 00914 W,TOMAR
Torre De Moncorvo,4110 N 00703 W,TCORV
Torreira,4045 N 00842 W,TOREI
Torres Novas,3928 N 00832 W,TNOVA
Torres Vedras,3905 N 00915 W,TVEDR
Trafaria,3840 N 00913 W,TRAFR
Trofa,4120 N 00833 W,TROFA
Troia,3829 N 00854 W,TROIA
Vagos,4033 N 00841 W,VAGOS
Valadares,4105 N 00837 W,VALAD
Vale Da Mua,3935 N 00755 W,VDMUA
Vale Da Telha (Aljezur),3718 N 00851 W,VTELH
Vale De Acor,3914 N 00755 W,VACOR
Vale De Cambra,4050 N 00823 W,VCAMB
Vale De Lobo,3703 N 00803 W,VLOBO
Valenca,4201 N 00838 W,VALEN
Valongo,4111 N 00829 W,VALON
Valpacos,4136 N 00718 W,VALPA
Valverde,3831 N 00801 W,VALVE
Veiros,3857 N 00730 W,VEIRO
Venda Do Pinheiro,3855 N 00913 W,VPINH
Venda Nova (Braga),4140 N 00757 W,VNOVA
Vendas Novas,3840 N 00827 W,VOVAS
Viana Do Alentejo,3820 N 00800 W,VIAAL
Viana Do Castelo,4141 N 00849 W,VIANA
Vidago,4138 N 00734 W,VIDAG
Vidigueira,3812 N 00748 W,VIDIG
Vieira Do Minho,4138 N 00808 W,VIEMI
Vila Do Bispo,3704 N 00854 W,VIBIS
Vila Do Conde,4121 N 00844 W,VCOND
Vila Flor,4118 N 00709 W,VFLOR
Vila Franca De Xira,3857 N 00859 W,VXIRA
Vila Nova De Cerveira,4156 N 00844 W,VNCER
Vila Nova De Foz Coa,4104 N 00708 W,VNCOA
Vila Nova De Milfontes,3743 N 00847 W,VNMIL
Vila Nova De Paiva,4051 N 00743 W,VNPAI
Vila Nova De Poiares,4012 N 00815 W,VNPOI
Vila Nova De Tazem,4030 N 00742 W,VAZEN
Vila Pouca De Aguiar,4130 N 00738 W,VPIAR
Vila Praia De Ancora,4148 N 00850 W,VPANC
Vila Real,4117 N 00744 W,VREAL
Vila Real De Santo Antonio,3711 N 00724 W,VRSAN
